close,close_time,datetime,high,low,open,quote_volume,symbol,taker_buy_quote_volume,taker_buy_volume,timestamp,trades,volume
211.17,1588255199999,2020-04-30T18:30:00,212.33,207.86,208.96,9197500.3094033,ETHUSDT,4660223.9272861,22148.41977,1588251600000,16550,43703.64748
211.27,1588258799999,2020-04-30T19:30:00,212.2,210.42,211.21,8331859.3923424,ETHUSDT,3511972.0070575,16622.97398,1588255200000,13283,39434.75561
208.05,1588262399999,2020-04-30T20:30:00,211.88,206.3,211.29,10917437.1300068,ETHUSDT,4634544.3916608,22152.87084,1588258800000,18758,52176.36606
207.47,1588265999999,2020-04-30T21:30:00,210.45,203.06,208.04,18024182.1955539,ETHUSDT,8801090.6040424,42415.32646,1588262400000,28906,86949.29978
205.75,1588269599999,2020-04-30T22:30:00,207.63,202.07,207.46,19589681.1349716,ETHUSDT,9776035.8697416,47776.53894,1588266000000,34674,95749.83475
209.16,1588273199999,2020-04-30T23:30:00,210.36,205.69,205.75,13587451.1467472,ETHUSDT,6761525.2732212,32421.98489,1588269600000,23702,65140.34463
211.38,1588276799999,2020-05-01T00:30:00,212.89,208.95,209.14,10438702.3403501,ETHUSDT,5683249.307823,26896.23542,1588273200000,17315,49399.53047
211.49,1588280399999,2020-05-01T01:30:00,212.41,210.0,211.37,7791186.4411891,ETHUSDT,3956537.1038414,18743.34901,1588276800000,13696,36911.64476
209.04,1588283999999,2020-05-01T02:30:00,212.13,208.49,211.55,5244544.9871738,ETHUSDT,2407816.992623,11428.51437,1588280400000,9091,24898.03721
210.38,1588287599999,2020-05-01T03:30:00,210.38,206.66,209.05,5883875.3799618,ETHUSDT,2823727.2889049,13536.74061,1588284000000,13376,28211.15079
206.08,1588291199999,2020-05-01T04:30:00,210.69,205.23,210.38,7687144.7462774,ETHUSDT,3600664.8191488,17369.72872,1588287600000,14746,37089.20754
208.9,1588294799999,2020-05-01T05:30:00,209.6,205.91,206.07,7937330.9577857,ETHUSDT,3722400.4952059,17876.63903,1588291200000,14448,38114.81701
208.08,1588298399999,2020-05-01T06:30:00,209.72,207.86,208.9,3859025.1566173,ETHUSDT,1921656.6636527,9206.74216,1588294800000,7939,18488.50627
210.05,1588301999999,2020-05-01T07:30:00,210.43,207.72,208.08,4621002.4236924,ETHUSDT,2284944.347621,10926.62184,1588298400000,8637,22095.0341
208.88,1588305599999,2020-05-01T08:30:00,210.34,207.91,210.04,4985198.4302155,ETHUSDT,2256281.2555426,10802.23376,1588302000000,9381,23859.62648
212.21,1588309199999,2020-05-01T09:30:00,212.48,208.89,208.92,7276803.4929962,ETHUSDT,4208650.2825283,19962.282,1588305600000,12507,34503.80035
214.45,1588312799999,2020-05-01T10:30:00,215.0,211.38,212.17,12277535.8568013,ETHUSDT,6571086.8745192,30773.51355,1588309200000,19282,57500.26897
212.87,1588316399999,2020-05-01T11:30:00,214.41,212.38,214.41,5807358.3181944,ETHUSDT,2668639.0820834,12510.25686,1588312800000,9674,27230.15323
212.56,1588319999999,2020-05-01T12:30:00,213.73,209.8,212.87,9119862.4360073,ETHUSDT,4830121.6153716,22823.6478,1588316400000,15676,43079.19538
213.11,1588323599999,2020-05-01T13:30:00,213.45,211.55,212.54,5059571.9568992,ETHUSDT,2570108.9365725,12092.47037,1588320000000,9161,23807.18509
214.42,1588327199999,2020-05-01T14:30:00,214.68,212.57,213.11,7666835.6843935,ETHUSDT,3793965.7606108,17750.71867,1588323600000,11916,35867.63006
214.76,1588330799999,2020-05-01T15:30:00,214.91,213.02,214.42,6866236.6217223,ETHUSDT,2950446.1786611,13781.65692,1588327200000,10908,32078.10707
215.23,1588334399999,2020-05-01T16:30:00,217.14,213.6,214.75,15043137.771787,ETHUSDT,7244584.7821273,33629.55427,1588330800000,22838,69833.31581
212.82,1588337999999,2020-05-01T17:30:00,215.52,210.93,215.27,13564681.911358,ETHUSDT,6279745.0219824,29463.37137,1588334400000,21890,63658.85177
210.75,1588341599999,2020-05-01T18:30:00,213.69,210.0,212.82,8580578.7145442,ETHUSDT,4123511.0428708,19483.14426,1588338000000,15602,40546.82254
211.94,1588345199999,2020-05-01T19:30:00,212.39,209.57,210.73,7561977.0198974,ETHUSDT,3460136.2616963,16403.74493,1588341600000,13374,35857.98009
209.8,1588348799999,2020-05-01T20:30:00,212.8,209.73,211.95,6399838.9870448,ETHUSDT,2973285.6269508,14073.70321,1588345200000,11089,30305.3659
209.98,1588352399999,2020-05-01T21:30:00,211.22,208.26,209.8,9863058.7186786,ETHUSDT,5283892.4980001,25198.78543,1588348800000,16274,47032.92106
210.77,1588355999999,2020-05-01T22:30:00,210.9,209.28,209.98,5745175.6923442,ETHUSDT,2846280.9243092,13545.88423,1588352400000,9558,27344.42809
209.98,1588359599999,2020-05-01T23:30:00,211.83,209.85,210.77,4780026.445315,ETHUSDT,2173857.6192185,10301.03558,1588356000000,9038,22646.88439
209.33,1588363199999,2020-05-02T00:30:00,210.45,208.68,209.97,5222381.023507,ETHUSDT,2283844.9112904,10893.84509,1588359600000,9356,24918.47827
209.8,1588366799999,2020-05-02T01:30:00,210.18,208.25,209.33,3492146.3729109,ETHUSDT,1858692.1956275,8881.16663,1588363200000,8000,16688.63003
212.37,1588370399999,2020-05-02T02:30:00,212.49,209.75,209.8,3833586.6541969,ETHUSDT,1996344.7792142,9450.91883,1588366800000,8089,18152.81425
212.09,1588373999999,2020-05-02T03:30:00,212.5,211.3,212.4,3080048.2966089,ETHUSDT,1465201.3691591,6916.1181,1588370400000,6195,14536.52444
212.02,1588377599999,2020-05-02T04:30:00,213.81,211.72,212.08,5695724.4143959,ETHUSDT,2818314.6356264,13241.7142,1588374000000,10533,26766.61763
